Data,PM25,d3_mean,weekly_mean,month_max,month_std,expanding_mean,expanding_median,nested_mean,lag1d,day_of_week,month_number,season,trend,seasonal,resid
2022-07-21,12.645321,10.196158333333335,8.063157,16.546019,3.597813380343435,11.917913905472638,9.561409,6.256668761904763,11.484243,3,7,2,8.994135159484836,1.7470617354708096,1.9041241050443531
2022-07-22,14.114915,11.550756666666667,8.711099142857142,16.546019,3.535802911929932,11.92151493069307,9.5976865,7.117150476190477,12.645321,4,7,2,9.093549638318084,1.9944251131841237,3.0269402484977928
2022-07-23,12.173661,12.748159666666668,10.019936285714286,16.546019,3.6165506002576207,11.932319857142856,9.633964,7.987992761904763,14.114915,5,7,2,9.132410896701936,1.9969094264115161,1.0443406768865469
2022-07-24,6.331927,12.977965666666668,10.890755857142858,16.546019,3.65220113022208,11.933502901960784,9.6430355,8.931397476190478,12.173661,6,7,2,9.111484719146034,-0.20411398115248916,-2.5754437379935444
2022-07-25,8.037389,10.873501000000003,10.836328428571429,16.546019,3.678461280623702,11.906178141463414,9.633964,9.873930428571429,6.331927,0,7,2,9.039909329253625,0.08830683958058233,-1.090827168834208
2022-07-26,8.436292,8.847659000000002,10.75859457142857,16.546019,3.6806367774223676,11.887397611650485,9.5976865,10.582340190476192,8.037389,1,7,2,8.931612129356006,-1.1362940781451523,0.6409739487891457
2022-07-27,5.22504,7.601869333333336,10.46053542857143,16.546019,3.6149429896553653,11.870725603864734,9.561409,10.828559619047622,8.436292,2,7,2,8.812823293032306,-1.9645808854867868,-1.6232024075455191
2022-07-28,7.14817,7.232907000000002,9.566363571428571,16.546019,3.6187825400604154,11.838775192307692,9.452414999999998,10.685152809523812,5.22504,3,7,2,8.704624769476553,-0.15951219283426551,-1.396942576642287
2022-07-29,7.873873,6.936500666666668,8.781056285714286,16.546019,3.5920651078201167,11.816332105263157,9.343421,10.26183119047619,7.14817,4,7,2,8.613903240212137,-2.294761838916821,1.5547315987046844
2022-07-30,8.744954,6.7490276666666675,7.889478857142858,16.546019,3.588468871101039,11.79755849047619,9.325278,9.602651761904765,7.873873,5,7,2,8.547322728616944,-0.7412700825859094,0.9389013539689657
